x,y,abs_error_t71
20.389711,6.4216404,0.05649811
19.940796,6.312874,0.07939249
19.49188,6.2041073,0.08224738
20.759354,6.0818777,0.055808306
20.298195,5.97862,0.092387795
19.837036,5.875362,0.11144304
20.655594,5.644366,0.06412679
20.182192,5.5466166,0.08036387
20.527346,5.2178707,0.019499183
17.209309,3.7255743,0.078837395
17.091326,3.6235418,0.09550691
16.973345,3.5215092,0.1277504
17.255184,3.5544796,0.10281366
17.133492,3.4441493,0.13552594
17.011799,3.3338192,0.18145764
17.30106,3.383385,0.13861942
17.175655,3.264757,0.17971933
17.346935,3.2122903,0.1795935
20.056915,4.3068156,0.084881485
20.243841,4.595356,0.05163479
20.400652,4.899041,0.0206483
19.845276,4.564518,0.074801385
20.017143,4.8606305,0.03988266
20.158895,5.171888,0.014634609
19.633636,4.82222,0.036159635
19.790445,5.125905,0.013127029
19.421997,5.0799217,0.0133904815
17.5509,3.1726913,0.14721102
17.75932,3.1534662,0.12310511
17.972195,3.154615,0.09714961
17.462072,3.3866837,0.12934262
17.668264,3.3572717,0.11564481
17.878912,3.3482335,0.10231739
17.57721,3.5610769,0.10023564
17.78563,3.5418518,0.097586274
17.692347,3.7354703,0.090010226
19.219221,4.3620634,0.08899975
19.296764,4.139089,0.110976994
19.37431,3.9161146,0.11058462
19.451853,3.69314,0.100860894
19.498453,4.3436475,0.096122086
19.586876,4.111452,0.11490452
19.675299,3.8792565,0.11227381
19.777683,4.3252316,0.09988451
19.876986,4.083815,0.110388935
18.234148,3.7173858,0.09247506
18.14683,3.5297954,0.09118879
18.059513,3.3422053,0.08779192
18.398155,3.5802855,0.0839054
18.312643,3.3804789,0.07686633
18.227133,3.1806722,0.062409878
18.56216,3.4431856,0.06880963
18.478456,3.2311623,0.073043466
18.726168,3.3060856,0.04723084
18.722815,4.023205,0.103373885
18.723932,3.7841651,0.09588617
18.72505,3.5451252,0.07645494
18.965826,3.9131832,0.10682702
18.975128,3.6627398,0.084408164
18.98443,3.4122963,0.07424855
19.20884,3.8031616,0.10383248
19.226324,3.5413144,0.036645412
2.469741,38.285583,0.3052824
2.2262757,38.362083,0.31834203
2.3779764,38.113075,0.30902642
6.904751,38.831184,0.13120967
6.916184,39.08385,0.13896334
6.6763687,38.898514,0.13945675
7.556132,38.234528,0.17437667
7.7329273,38.49615,0.2233612
7.9097223,38.757774,0.26642472
7.4151325,38.41097,0.16697764
7.5919275,38.672592,0.22558314
7.2741327,38.58741,0.15559494
8.00834,38.16859,0.18887699
7.959031,38.463184,0.22700286
7.782236,38.201557,0.19327301
