step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda
221,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
222,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
223,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
224,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
225,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
226,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
227,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
228,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
229,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
230,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
231,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
232,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
233,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
234,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
235,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
236,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
237,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
238,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
239,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
240,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
241,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
242,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
243,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
244,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
245,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
246,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
247,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
248,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
249,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
250,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
251,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
252,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
253,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
254,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
255,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
256,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
257,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
258,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
259,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
260,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
