step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,total_loss
134,adam,0.02151127333842939,0.05253901753214098,0.02521574593359424,0.04237743142631746,4.868365947679136e-05,0.00012060270631580704,6.767161500698832e-08,3.4761290473322712
135,adam,0.021464414413898222,0.05245901656246955,0.02507558266722387,0.041825152933597565,4.8525230193908714e-05,0.00012100731527748247,6.695675102535812e-08,3.468278031195364
136,adam,0.02144459623002237,0.05238549339194452,0.025136483472681815,0.042040522901281234,4.8570263442666e-05,0.00011868624278577045,6.669738871595097e-08,3.4649251430265364
137,adam,0.021414557051274083,0.05248149700703159,0.025218616029427897,0.04173631052817068,4.836333955022236e-05,0.00011841968127203384,6.60736282318266e-08,3.460751356617097
138,adam,0.021429729858233083,0.05236996337771416,0.025205909304561153,0.04225275449214443,4.845889880896486e-05,0.0001179995076287718,6.567916011773935e-08,3.4628371423290623
139,adam,0.02148276849860145,0.052523007916827354,0.02510372903798857,0.04203344400851957,4.858222629052527e-05,0.00011465888336158147,6.523632123389689e-08,3.4703568412411596
140,adam,0.021477216434094212,0.05234045499274807,0.02518269696062611,0.04231955099009698,4.833331941852286e-05,0.00011674946243499195,6.502790976660142e-08,3.4693289802920435
141,adam,0.021515822759078394,0.05265841068279359,0.025380787409601674,0.04228583014299793,4.848935362045473e-05,0.00011685398907678562,6.449734326547368e-08,3.476748989474389
142,adam,0.021443817163667372,0.052550477246122974,0.02527949454322938,0.0423404133367923,4.8541238708909784e-05,0.00011827206828691546,6.425782251815162e-08,3.466017623101511
143,adam,0.021351805437476404,0.05223029070804196,0.02532392968573878,0.04220229579556373,4.805243236572302e-05,0.00011538157465815124,6.354626519612705e-08,3.450383324776926
144,adam,0.02138997602366632,0.052362741602043954,0.02503938876813458,0.04229695650358354,4.84568489839383e-05,0.00011858033535498825,6.282213275752721e-08,3.4570165757210023
145,adam,0.02142651649492402,0.052455617896010796,0.025615021285991513,0.04258813889276597,4.815295265401683e-05,0.00011475256295882226,6.231889774114513e-08,3.462933401907644
146,adam,0.021419611128587878,0.052470360191599015,0.025023487126154285,0.04235776790207432,4.821693507819286e-05,0.00011750074847969376,6.181585949925941e-08,3.4616176466788016
147,adam,0.02139675124518333,0.052375765457268686,0.02514805987236961,0.04237643028459241,4.834036653553466e-05,0.00011420772352721542,6.131200023670288e-08,3.4574414299380396
148,adam,0.02134204205245741,0.052224585726376505,0.025418219426947254,0.042318183568216136,4.827294363959452e-05,0.00011593211374636138,6.067429672663322e-08,3.449326907434771
149,adam,0.02138362866976569,0.05244962907125873,0.02546028949079975,0.04293030344190136,4.80050420587612e-05,0.0001132972172326258,6.059908990378502e-08,3.4565703176682994
150,adam,0.021387237154187694,0.05244676624574969,0.025286419737723567,0.04227971093308541,4.8199456467691266e-05,0.00011612344678724185,5.996504511578619e-08,3.4567915316550963
151,adam,0.0213363639289333,0.05213399291519196,0.025647934466119734,0.04295367278879689,4.811342448867377e-05,0.0001152771137346844,5.938152404203192e-08,3.448789827285274
152,adam,0.021261366144303354,0.052029475689895695,0.025114102950019222,0.04254093573939416,4.823140109017972e-05,0.00011702129479324926,5.88185836094116e-08,3.4367585259099163
153,adam,0.021284074552597537,0.05216206778441706,0.025071528830355214,0.042463833285916235,4.762164662092654e-05,0.00011628449142482432,5.8431780876199196e-08,3.4402774072462514
154,adam,0.02129784556886842,0.05225638083873257,0.024922220336814082,0.04261165472768968,4.827245427276789e-05,0.0001158599597176597,5.790047437919325e-08,3.4428148577290196
155,adam,0.02128148271191505,0.05220989306126871,0.025065824569713686,0.042798721622074806,4.8087461876885726e-05,0.00011414722018432053,5.729291885359089e-08,3.4402100809158815
156,adam,0.021288817027403463,0.05200857428773757,0.025066034027164983,0.04279533004568469,4.7953814975053615e-05,0.00011407846308899142,5.6946316107087114e-08,3.4402109961355887
157,adam,0.02122122860483585,0.0519276415148089,0.025169978879632487,0.04223221143887889,4.827551404765296e-05,0.00011250950680527416,5.645167487588673e-08,3.429402474434145
158,adam,0.021268456273021236,0.05200198472988221,0.02534721196899491,0.04318408824263081,4.805455401149248e-05,0.00011655405978672206,5.5920924894288026e-08,3.438421772372338
159,adam,0.021239370828674685,0.052097508022862095,0.02543765216344787,0.04258097431832744,4.801248442456727e-05,0.00011630450359417967,5.541298115703754e-08,3.434141751258604
160,adam,0.02118952584362799,0.05191074684262276,0.02532539799088432,0.04271250999262256,4.783579154923979e-05,0.00011862499189690777,5.496518910270483e-08,3.4263828569842922
161,adam,0.02117286910933833,0.052112830983054255,0.02501416903349661,0.042599134147167206,4.795946780734906e-05,0.00011469593089479472,5.44245067650932e-08,3.4238412764764603
162,adam,0.021192758554412473,0.051917746903434876,0.02505703829228878,0.04317010494489824,4.775005530269306e-05,0.00011284915812974495,5.430810702936499e-08,3.4259680086566555
163,adam,0.021158533050648628,0.052099852672507684,0.025238730013370514,0.04318964385217236,4.788570285816076e-05,0.00011821305111704034,5.4077669310279286e-08,3.4231686053737516
164,adam,0.02120279094144221,0.05208022892475128,0.025219739444794192,0.043442186569013906,4.786006637356965e-05,0.00011450194541530143,5.3057234706080456e-08,3.4290160594447965
165,adam,0.021107102533982645,0.05174094726962428,0.025963434528919957,0.04282136369616755,4.810018776146124e-05,0.00011266404955324927,5.242998580093451e-08,3.413459300994873
166,adam,0.02111035549352246,0.05197239583057742,0.025153609713719736,0.04269594879400346,4.769955440649703e-05,0.00011383455069247453,5.2071592285352794e-08,3.414138740108859
