concentration,mu_h(c)
0.013523924,-0.14574933
0.015735362,-0.033629656
0.064230064,0.016527176
0.072240913,0.055547
0.074581485,0.0442369
0.050205839,-0.2681465
0.050648305,-0.26633286
0.051660495,-0.2689867
0.023496751,-0.27652335
0.020899249,-0.2902894
0.017435374,-0.3038857
0.029373364,-0.27452517
0.026864823,-0.2847967
0.036368617,-0.27244568
0.013725144,-0.30070925
0.014766422,-0.30385494
0.017712895,-0.28723073
0.020515391,-0.34994578
0.031585976,-0.35663152
0.017923536,-0.33260942
0.052366592,-0.02635622
0.060152885,-0.0026671886
0.068307115,0.023782492
0.047531661,-0.041665077
0.054177898,-0.019242764
0.041882923,-0.053856373
0.041213895,-0.050351143
0.030666216,-0.08515072
0.036069428,-0.052529573
0.036313336,-0.07657528
0.030248084,-0.09694362
0.039613692,-0.064932585
0.019286682,-0.1479218
0.014346644,-0.18127704
0.020590925,-0.15842915
0.046547049,-0.28021574
0.04736803,-0.28423953
0.03651125,-0.2850368
0.0126,-0.24914551
0.014266635,-0.27154613
0.013872484,-0.27363348
0.036749387,0.02098918
0.039907843,-0.006410122
0.040937859,-0.031534195
0.050847018,0.036099672
0.05294198,0.0072813034
0.066118651,0.0539279
0.02825183,-0.0037646294
0.026590255,-0.024169207
0.026492239,-0.039974928
0.032755992,-0.0288198
0.02943772,-0.04671669
0.03438144,-0.05131626
0.073112578,0.10274935
0.089509971,0.15618181
0.062658042,0.12945509
0.042622586,0.06391621
0.057136167,0.08223224
0.047563359,0.10855174
0.02128149,-0.26972914
0.023568959,-0.26020432
0.02549737,-0.24789858
0.018361162,-0.28038526
0.021589909,-0.2710476
0.01529985,-0.29364157
0.041147263,-0.26577687
0.041928114,-0.26639938
0.041906792,-0.2693739
0.032250896,-0.2571764
0.031143683,-0.25937653
0.024764318,-0.24194598
0.035596893,-0.27236652
0.026935186,-0.27121067
0.023283643,-0.2563734
0.028927627,-0.26215577
0.029816371,-0.2514758
0.026546777,-0.25308347
0.026941138,-0.23907876
0.02556576,-0.24086213
0.036187391,-0.2639761
0.021684617,-0.3477521
0.018554773,-0.3306327
0.019549006,-0.31474137
0.028844165,-0.3267715
0.025620093,-0.31087065
0.035060363,-0.30514407
0.030572919,-0.28272653
0.022106116,-0.2891643
0.026407459,-0.2634604
0.023334453,-0.37645388
0.026287421,-0.38382006
0.018010116,-0.40154982
0.030049539,-0.35441065
0.037912394,-0.33193398
0.036088306,-0.36049008
0.035513169,-0.22355676
0.040089591,-0.2519853
0.038565445,-0.27900982
0.03402,-0.23234725
0.033477283,-0.2581563
0.02957907,-0.24051976
0.012743038,-0.19025135
0.0126,-0.15926218
0.02035949,-0.12550902
0.0126,-0.22088385
0.014736863,-0.1833806
0.012988502,-0.2436328
0.015597636,-0.15832543
0.021203309,-0.12896466
0.015677533,-0.13217139
0.027505712,-0.071664095
0.022134932,-0.09760451
0.027320528,-0.08002925
0.021049375,-0.10811329
0.029394158,-0.0861156
0.025829498,-0.10733223
0.033909649,-0.17163253
0.020034993,-0.21944189
0.017741166,-0.2565136
0.038265765,-0.15752006
0.017602757,-0.2049079
0.029139656,-0.14154863
0.021329997,-0.20519233
0.019381026,-0.2279005
0.017872,-0.24420977
0.026683055,0.031915188
0.032114329,0.072512865
0.036046626,0.11364937
0.018275002,0.043170452
0.024134904,0.08047843
0.017089244,0.05430293
0.021673696,-0.010474682
0.020647459,0.008615971
0.017552658,0.021867275
0.02655565,-0.038520813
0.023047639,-0.010923147
0.019833641,0.019237757
0.027729221,-0.033676624
0.023254304,-0.0079808235
0.027561559,-0.025604963
0.028973623,-0.066598654
0.035306793,-0.058279514
0.030541731,-0.09003639
0.04010399,0.16672492
0.059126124,0.21465874
0.027487015,0.17426252
0.019716643,0.10208988
0.026835466,0.1315875
0.020324452,0.14239311
0.026351255,-0.22157264
0.023921085,-0.21662354
0.024055539,-0.21631956
0.025602702,-0.19014025
0.021796705,-0.18599892
0.026515249,-0.15259671
0.03151954,-0.19896221
0.029502313,-0.21049714
0.028786095,-0.17550659
0.026365118,-0.10432434
0.02466494,-0.11993027
0.02419392,-0.13580441
0.024324809,-0.16410327
0.023156835,-0.17483974
0.022527631,-0.21059465
0.035363478,-0.14997911
0.031458805,-0.12716103
0.024016376,-0.18483949
0.019074489,-0.43287516
0.029170757,-0.3991468
0.023156961,-0.40662694
0.0126,-0.4377873
0.0126,-0.46617794
0.0126,-0.4256649
0.014606603,-0.47045684
0.0126,-0.497257
0.013150134,-0.46020222
0.045401747,-0.35534954
0.045691295,-0.31816268
0.032693722,-0.27828097
0.036880981,-0.3618946
0.032581245,-0.3227501
0.024649255,-0.36755443
0.047184892,-0.2981689
0.045359279,-0.28908944
0.049117213,-0.32612395
0.037129396,-0.23942804
0.036213005,-0.2579329
0.042675524,-0.26937842
0.030639742,-0.1926899
0.027250832,-0.15793514
0.029447071,-0.119754314
0.028680704,-0.20885539
0.022828926,-0.17505383
0.025471775,-0.22751975
0.029443252,-0.16557336
0.030820339,-0.13889289
0.02986633,-0.12790966
0.035544283,-0.39222622
0.027514311,-0.42110038
0.021672156,-0.4502728
0.023366915,-0.4117179
0.018309934,-0.44087863
0.015120996,-0.4307499
0.017582317,-0.48887062
0.014280352,-0.51919913
0.017754196,-0.48470616
0.030614243,-0.42514443
0.025225179,-0.44728613
0.019766409,-0.4696765
0.026320403,-0.44342613
0.021818778,-0.4659853
0.021559874,-0.46169782
0.033861095,-0.41455913
0.026698717,-0.43244147
0.035228809,-0.40357947
0.056273322,-0.10957146
0.05978997,-0.10001588
0.045514019,-0.09367585
0.058145677,-0.050326824
0.061031598,-0.0511477
0.044556989,-0.0023686886
0.032437194,-0.061356068
0.048900811,-0.08575797
0.041304129,-0.024880886
0.036047455,-0.024674654
0.043833716,-0.014537573
0.050116371,-0.056947947
0.017279329,0.05878353
0.020234386,0.09606075
0.026459133,0.12696743
0.025878099,0.06912613
0.037129455,0.09585023
0.051179445,0.08404446
0.018023874,0.014687777
0.017424368,0.033535957
0.025178287,0.05350089
0.021464894,0.013360262
0.029610378,0.051369667
0.02744894,0.023545504
0.03279241,0.17886472
0.04235028,0.2226882
0.044884134,0.18043137
0.044964991,0.13371778
0.051014056,0.13761735
0.060246461,0.10932732
0.02202769,-0.04396057
0.024920882,0.014823675
0.042801144,0.068083525
0.026573035,-0.06317735
0.036892216,-0.006370306
0.032003702,-0.08425546
0.039208097,-0.0681448
0.057766563,0.010047674
0.047645914,-0.055556297
0.018988988,-0.0011713505
0.023955614,0.029119492
0.016212268,0.054041386
0.01581132,-0.4048934
0.0126,-0.3939185
0.01446522,-0.38236046
0.022897567,-0.36081982
0.014230194,-0.3501134
0.036366976,-0.31640053
0.038548599,-0.36744905
0.023713098,-0.38643098
0.039921508,-0.34218168
0.018510625,-0.33677602
0.020568586,-0.29105854
0.017827884,-0.30397034
0.070934896,-0.3109672
0.061339332,-0.33804512
0.04762197,-0.36511683
0.069027208,-0.31327057
0.052849471,-0.34041667
0.052522857,-0.315073
0.034311461,-0.26336527
0.017927839,-0.25089908
0.017866544,-0.23884082
0.026110435,-0.20837545
0.02057608,-0.19593191
0.029807036,-0.1507361
0.03449736,-0.12709188
0.035321338,-0.13774419
0.020939759,-0.1843667
0.081164677,0.02470231
0.071309619,-0.035567045
0.049264035,-0.09448838
0.07170002,-0.023181677
0.052929013,-0.081650734
0.050327771,-0.072169065
0.090299117,0.04811859
0.070564115,-0.0029287338
0.076137262,0.06312895
0.038763729,-0.40003467
0.04164872,-0.38959503
0.044429815,-0.37873006
0.044894027,-0.37520218
0.049496789,-0.36483002
0.04647884,-0.3505919
0.062653075,-0.32461715
0.057843865,-0.33782458
0.05537101,-0.35162902
0.014466103,-0.4878111
0.012769635,-0.4822986
0.012786609,-0.51863885
0.019083792,-0.46168303
0.022325799,-0.43155956
0.023689134,-0.40196967
0.016482458,-0.4567876
0.018062114,-0.42642426
0.013615547,-0.45101023
0.03171987,-0.41787648
0.02740641,-0.410151
0.025092392,-0.43966913
0.036037051,-0.39283967
0.037139139,-0.36811066
0.030648654,-0.38522363
0.064261744,0.09583092
0.04091264,0.11931872
0.036569742,0.1473794
0.03147272,0.075665236
0.015913533,0.108418226
0.021609747,0.05850625
0.027290229,0.12020445
0.019123599,0.09335041
0.026739713,0.14057517
0.022606733,0.123603106
0.036370485,0.119826555
0.067211811,0.108287096
0.019099436,0.12106538
0.041421532,0.11717844
0.036462155,0.14071822
0.047912543,0.14762616
0.055845545,0.12396455
0.03531157,0.13729382
0.048677112,0.18583679
0.054374542,0.23972201
0.02975624,0.19190526
0.024444643,0.14978981
0.023009782,0.12365627
0.02752482,0.14386392
0.066294094,0.12801981
0.047561681,0.16445327
0.054145909,0.17469287
0.050946785,0.16938853
0.056995728,0.19207287
0.038461882,0.19198394
0.070750284,0.09977913
0.075440028,0.11979914
0.042622359,0.15820932
0.063333692,-0.20089936
0.071500318,-0.23954606
0.060389876,-0.2782836
0.049391795,-0.18449068
0.047197196,-0.2241528
0.030723508,-0.1675191
0.081392743,-0.27487016
0.077762296,-0.27674007
0.075534033,-0.23824453
0.067473597,-0.29720235
0.059554873,-0.28343368
0.049048824,-0.26972818
0.058928095,-0.3106253
0.049229591,-0.29661465
0.048497839,-0.32355142
0.061365808,-0.2479446
0.072221391,-0.26135325
0.069945961,-0.2250166
0.053149644,-0.1366601
0.043871428,-0.11740613
0.047695994,-0.097997665
0.061910827,-0.06990242
0.069540144,-0.04714346
0.075589462,-0.0012607574
0.085776749,0.021268368
0.087317731,0.012199402
0.069767026,-0.03926277
0.078758612,0.09398079
0.058783892,0.15195155
0.094534979,0.081314564
